#SMILES	StructureSource	IdentifierType	IdentifierValue
CN1C(=O)N(C=2N=C(N(C2C1=O)CC1=C(C=CC=C1C#N)C#N)Br)C	1,3-dimethyl-7-(2,6-dicyano-benzyl)-8-bromo-xanthine	Example	I
C(C)OC(=O)COC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-(2-{2-[(ethoxycarbonyl)methoxy]-phenyl}-2-oxo-ethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	II
OC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(2-hydroxy-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	III
OC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)Cl)C)=O	1-[2-(2-hydroxy-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-chloro-xanthine	Example	IV
C(C)(C)(C)OC(=O)NC1CN(CCC1)C1=NC(=C(N1CC=C(C)C)C(=O)OCC)NC(=O)NC(=O)OCC	2-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-3-(3-methyl-2-buten-1-yl)-4-ethoxycarbonyl-5-{[(ethoxycarbonylamino)carbonyl]amino}-3H-imidazole	Example	IX
OCC1=CC=C(C=2C=CC=NC12)O	8-hydroxymethyl-quinolin-5-ol	Example	L
C1(CC1)C1=NC2=CC=CC=C2C(=N1)CN1C(=O)N(C=2N=C(N(C2C1=O)CC1=CCCC1)N1CC(CCC1)NC(=O)OC(C)(C)C)C	1-[(2-cyclopropyl-quinazolin-4-yl)methyl]-3-methyl-7-[(1-cyclopenten-1-yl)methyl]-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	LI
BrCC(=O)C1=CC=CC=2N(C(N(C21)COCC[Si](C)(C)C)=O)COCC[Si](C)(C)C	4-(2-bromo-acetyl)-1,3-bis-[(2-trimethylsilanyl-ethoxy)methyl]-1,3-dihydro-benzoimidazol-2-one	Example	LII
CC1=C(N=C2N1C=CC=C2)C(=O)OC	methyl 3-methyl-imidazo[1,2-a]pyridine-2-carboxylate	Example	LIII
ClCC1=NC2=CC=CC=C2C(=N1)C(C)C	2-chloromethyl-4-isopropyl-quinazoline	Example	LIV
N1C(=NC2=C1C=CC=C2)CN2C(=O)N(C=1N=C(N(C1C2=O)CC#CC)N2CC(CCC2)NC(=O)OC(C)(C)C)C	1-[(1H-benzoimidazol-2-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxy-carbonylamino)-piperidin-1-yl]-xanthine	Example	LIX
ClCC1=NC(CC2=CC=CC=C12)C(F)(F)F	1-chloromethyl-3-trifluoromethyl-3,4-dihydro-isoquinoline	Example	LV
BrCC=1N=C(C2=CC=CC=C2C1)C(C)(C)C#N	3-bromomethyl-1-(1-cyano-1-methyl-ethyl)-isoquinoline	Example	LVI
C(#N)C(C)(C)C1=NC(=CC2=CC=CC=C12)C	1-(1-cyano-1-methyl-ethyl)-3-methyl-isoquinoline	Example	LVII
C(#N)N=C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC#CC)N1CC(CCC1)NC(=O)OC(C)(C)C)C)C1=CC=CC=C1	1-(2-cyanoimino-2-phenyl-ethyl)-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	LVIII
CC=1N=C(C=2CCCC2C1C)C(=O)OCC	Ethyl 3,4-dimethyl-6,7-dihydro-5H-[2]pyrindin-1-carboxylate	Example	LX
CC=1N=C(C2CCCC2(C1C)N1CCCC1)C(=O)OCC	Ethyl 3,4-dimethyl-4a-(pyrrolidin-1-yl)-5,6,7,7a-tetrahydro-4aH-[2]pyrindin-1-carboxylate	Example	LXI
CC1=NC2=C(C=C(C=C2N=C1C)C(=O)OC)C	Methyl 2,3,8-trimethyl-quinoxalin-6-carboxylate	Example	LXII
NC=1C=C(C(=O)OC)C=C(C1N)C	Methyl 3,4-diamino-5-methyl-benzoate	Example	LXIII
[N+](=O)([O-])C=1C=C(C(=O)OC)C=C(C1N)C	Methyl 3-nitro-4-amino-5-methyl-benzoate	Example	LXIV
ClC1=C(N=C(C2=CC=CC=C12)C)OC	4-chloro-3-methoxy-1-methyl-isoquinoline	Example	LXIX
C1(=CC=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)\C=C\CC)Br)C)=O	1-(2-phenyl-2-oxo-ethyl)-3-methyl-7-((E)-1-buten-1-yl)-8-bromo-xanthine	Example	LXV
CS(=O)(=O)OCC1=CC=C(C2=CC=CC=C12)OC(F)F	1-methanesulphonyloxymethyl-4-difluoromethoxy-naphthalene	Example	LXVI
CC1=CC(=C2N=CC=NC2=C1)C1=CC=CC=C1	7-methyl-5-phenyl-quinoxaline	Example	LXVII
CC1=NC(=CC2=CC=CC=C12)C(F)(F)F	1-methyl-3-trifluoromethyl-isoquinoline	Example	LXVIII
C1(CC1)N1C(NC(C=2NC(=NC12)Br)=O)=O	3-cyclopropyl-8-bromo-xanthine	Example	LXX
C1CCCC2=NC(=C3C=CC=CC3=C12)C(=O)OCC	Ethyl 1,2,3,4-tetrahydro-phenanthridin-6-yl-carboxylate	Example	LXXI
COC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)Cl)C)=O	1-[2-(2-methoxy-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-chloro-xanthine	Example	V
CS(=O)COC=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-(2-{3-[(methanesulphinyl)methoxy]-phenyl}-2-oxo-ethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	VI
C[Si](CCOCN1C(NC(C=2N(C(=NC12)N1CC(CCC1)NC(=O)OC(C)(C)C)CC=C(C)C)=O)=O)(C)C	3-[(2-trimethylsilanyl-ethoxy)methyl]-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	VII
CC(=CCN1C(=NC=2NC(NC(C12)=O)=O)N1CC(CCC1)NC(=O)OC(C)(C)C)C	7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	VIII
